iter	Passed	Remaining
182	10784	48147
183	10830	48031
184	10876	47914
185	10929	47829
186	11010	47870
187	11077	47845
188	11140	47803
189	11193	47718
190	11248	47645
191	11307	47587
192	11354	47478
193	11411	47409
194	11481	47396
195	11544	47355
196	11600	47286
197	11652	47199
198	11701	47100
199	11755	47022
200	11816	46973
201	11874	46909
202	11943	46892
203	11994	46802
204	12054	46746
205	12116	46699
206	12166	46608
207	12214	46508
208	12266	46425
209	12348	46452
210	12401	46371
211	12457	46302
212	12513	46234
213	12571	46174
214	12617	46068
215	12673	45998
216	12719	45894
217	12768	45804
218	12816	45704
219	12862	45604
220	12911	45513
221	12973	45466
222	13040	45435
223	13104	45396
224	13160	45331
225	13219	45274
226	13273	45200
227	13348	45197
228	13393	45092
229	13444	45009
230	13493	44919
231	13555	44871
232	13609	44800
233	13663	44726
234	13714	44646
235	13784	44625
236	13833	44534
237	13879	44439
238	13928	44349
239	13973	44249
240	14035	44202
241	14093	44142
242	14146	44070
243	14192	43974
244	14245	43898
245	14292	43806
246	14352	43755
247	14429	43754
248	14497	43724
249	14543	43631
250	14596	43555
251	14643	43465
252	14702	43411
253	14774	43393
254	14829	43325
255	14885	43260
256	14954	43234
257	15000	43140
258	15059	43084
259	15120	43035
260	15173	42963
261	15220	42872
262	15274	42802
263	15330	42739
264	15376	42648
265	15446	42622
266	15493	42535
267	15542	42450
268	15604	42405
269	15651	42316
270	15704	42245
271	15774	42218
272	15822	42136
273	15872	42055
274	15950	42052
275	16003	41979
276	16045	41880
277	16114	41850
278	16164	41772
279	16211	41685
280	16260	41605
281	16306	41517
282	16352	41429
283	16421	41399
284	16468	41315
285	16538	41287
286	16596	41231
287	16655	41175
288	16714	41121
289	16792	41111
290	16884	41137
291	16938	41069
292	16990	40997
293	17053	40951
294	17114	40901
295	17175	40850
296	17235	40796
297	17295	40742
298	17358	40697
299	17411	40626
300	17465	40560
301	17518	40490
302	17589	40461
303	17641	40388
304	17692	40315
305	17744	40243
306	17795	40169
307	17857	40122
308	17926	40088
309	17974	40008
310	18028	39941
311	18085	39880
312	18145	39826
313	18204	39770
314	18252	39691
315	18305	39623
316	18370	39581
317	18417	39499
318	18472	39434
319	18545	39409
320	18624	39395
321	18683	39339
322	18733	39264
323	18779	39182
324	18830	39109
325	18885	39044
326	18935	38971
327	19002	38931
328	19061	38876
329	19112	38804
330	19184	38774
331	19239	38710
332	19287	38632
333	19382	38648
334	19429	38568
335	19474	38484
336	19524	38412
337	19574	38337
338	19651	38316
339	19710	38261
340	19757	38183
341	19812	38117
342	19865	38050
343	19913	37975
344	19962	37900
345	20019	37841
346	20070	37768
347	20121	37698
348	20178	37639
349	20230	37570
350	20281	37500
351	20337	37439
352	20386	37365
353	20437	37295
354	20496	37239
355	20548	37171
356	20598	37101
357	20691	37106
358	20754	37056
359	20811	36997
360	20863	36929
361	20909	36851
362	20975	36808
363	21022	36732
364	21070	36656
365	21122	36589
366	21174	36521
367	21248	36492
368	21314	36449
369	21366	36381
370	21422	36320
371	21476	36256
372	21527	36187
373	21581	36122
374	21639	36066
375	21703	36019
376	21783	35998
377	21836	35931
378	21887	35863
379	21939	35795
380	21989	35725
381	22040	35657
382	22100	35603
383	22166	35558
384	22216	35488
385	22271	35427
386	22322	35358
387	22382	35304
388	22436	35241
389	22523	35228
390	22579	35168
391	22634	35107
392	22708	35073
393	22844	35136
394	22900	35075
395	22958	35018
396	23016	34959
397	23074	34901
398	23124	34831
399	23179	34769
